harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
1500000000,Sleman,150,109,4,2,3500,Tak Berperabot,1,SHGB - Hak Guna Bangunan
4500000000,Sleman,400,254,7,4,5500,Tak Berperabot,1,SHM - Sertifikat Hak Milik
3000000000,Sleman,440,248,10,6,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
650000000,Sleman,100,217,3,2,900,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1200000000,Sleman,120,178,4,2,3500,Tak Berperabot,1,SHGB - Hak Guna Bangunan
1400000000,Bantul,218,109,9,10,3500,Lengkap,1,SHM - Sertifikat Hak Milik
667000000,Sleman,63,116,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1900000000,Bantul,180,115,3,1,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1675000000,Sleman,145,121,4,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
285000000,Sleman,36,66,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
610000000,Sleman,88,115,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
380000000,Sleman,50,150,2,1,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
430000000,Bantul,55,82,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
280000000,Sleman,36,66,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
760000000,Sleman,80,87,3,2,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
3100000000,Sleman,115,140,3,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
1500000000,Sleman,250,144,5,3,2200,Tak Berperabot,2,SHM - Sertifikat Hak Milik
4500000000,Sleman,250,202,5,6,2200,Tak Berperabot,4,SHM - Sertifikat Hak Milik
4500000000,Sleman,260,266,5,4,4400,Tak Berperabot,2,SHM - Sertifikat Hak Milik
4500000000,Yogyakarta,540,418,10,8,3500,Tak Berperabot,7,SHM - Sertifikat Hak Milik
950000000,Sleman,90,120,4,2,2200,Sebagian,2,SHM - Sertifikat Hak Milik
1900000000,Sleman,140,167,4,2,2200,Sebagian,2,SHM - Sertifikat Hak Milik
2400000000,Yogyakarta,130,73,3,2,3500,Tak Berperabot,1,SHM - Sertifikat Hak Milik
188000888,Kulon Progo,30,62,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
185002100,Kulon Progo,30,61,2,1,1300,Tak Berperabot,1,SHM - Sertifikat Hak Milik
624000000,Sleman,50,140,2,1,1300,Tak Berperabot,2,SHM - Sertifikat Hak Milik
839000000,Bantul,76,90,3,2,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
1599000000,Bantul,112,104,3,3,2200,Tak Berperabot,1,SHM - Sertifikat Hak Milik
